və	vE
Dünya	dinya
ölkənin	ElTEnin
etmişdi	etmiSdi
cür	jir
nisbətən	nisbEtEn
üzərinə	izErinE
olmaq	olmax
tərk	tErS
onlara	onlara
ali	ali
məhv	mEhv
asılı	asulu
Beynəlxalq	beynElxalx
Respublikası	respubliTasu
hava	hava
Respublikasının	respubliTasunun
gənc	TEnj
illik	illiS
layiq	layix
Həmçinin	hEmCinin
təklif	tESlif
almaq	almax
bilir	bilir
Eyni	eyni
cəlb	jElb
açıq	aCux
sistemi	sistemi
vəfat	vEfat
olsa	olsa
Cənubi	jEnubi
dili	dili
döyüş	dEyiS
həsr	hEs3r
məqsədi	mEgsEdi
edilib	edilib
lazımdır	lazumdur
qrup	grup
azad	azad
tərəfdən	tErEfdEn
ölkə	ElTE
Əli	Eli
gözəl	TEzEl
ABŞ	abS
əlaqədar	ElagEdar
Naxçıvan	naxCuvan
keçmiş	TeCmiS
Mərkəzi	mErTEzi
tamamilə	tamamilE
qalan	galan
Digər	diTEr
ağ	a
işləri	iSlEri
XIX	xux
tarixində	tarixindE
məğlub	mElub
ondan	ondan
neft	neft
yaxud	yaxud
sosial	sosial
insanlar	insanlar
yol	yol
Osmanlı	osmanlu
aşkar	aSTar
kəndində	TEndindE
İkinci	iTinji
özünün	Ezinin
Məsələn	mEsElEn
atası	atasu
dağ	da
xüsusilə	xisusilE
ətrafında	Etrafunda
sayda	sayda
qara	gara
edirdilər	edirdilEr
arasındakı	arasundaTu
hallarda	hallarda
ərazi	Erazi
yuxarı	yuxaru
təsiri	tEsiri
Baş	baS
əhalisi	Ehalisi
kəndi	TEndi
Çünki	CinTi
Xalq	xalx
Bunun	bunun
ifa	ifa
ayında	ayunda
sözü	sEzi
etdilər	etdilEr
irəli	irEli
bərabər	bErabEr
İran	iran
Ali	ali
erməni	ermEni
Əgər	ETEr
sm	seem
həll	hEll
yerə	yerE
film	film
tutur	tutur
Mirzə	mirzE
sağ	sa
başlamışdır	baSlamuSdur
insanların	insanlarun
deyilir	deyilir
cümlədən	jimlEdEn
hakimiyyəti	haTimiyyEti
çay	Cay
xeyli	xeyli
Türk	tirS
uşaq	uSax
adətən	adEtEn
yanında	yanunda
məhz	mEhz
məlum	mElum
düşür	diSir
ay	ay
fəaliyyəti	fEaliyyEti
torpaq	torpax
özünə	EzinE
bədii	bEdii
dövrü	dEvri
qalır	galur
Ona	ona
adlanır	adlanur
keçirilən	TeCirilEn
rəhbərlik	rEhbErliS
yaxınlığında	yaxunluuunda
sonrakı	sonraTu
orada	orada
çünki	CinTi
nəzərə	nEzErE
Birinci	birinji
ev	ev
keçir	TeCir
verilir	verilir
rəngli	rEnTli
ingilis	inTilis
inkişafı	inTiSafu
təmsil	tEmsil
şəxsi	SExsi
aiddir	addir
bərpa	bErpa
inzibati	inzibati
rayonunun	rayonunun
qızıl	guzul
məxsus	mExsus
əvvəlki	EvvElTi
Şimali	Simali
olduqca	oldugja
olundu	olundu
məruz	mEruz
zəngin	zEnTin
vermişdir	vermiSdir
boyu	boyu
on	on
birgə	birTE
olunurdu	olunurdu
mədəni	mEdEni
dünyada	dinyada
həyatı	hEyatu
növü	nEvi
vardı	vardu
Sonra	sonra
cavab	javab
Qafqaz	gafgaz
deməkdir	demESdir
ticarət	tijarEt
boyunca	boyunja
eləcə	elEjE
şəhərin	SEhErin
məktəb	mEStEb
üçüncü	iCinji
içərisində	iCErisindE
insanın	insanun
yaradır	yaradur
şəxs	SExs
daş	daS
bəhs	bEhs
qala	gala
əhalinin	Ehalinin
cənub	jEnub
qırmızı	gurmuzu
söz	sEz
əsr	Es3r
gəldi	TEldi
bunu	bunu
üstünlük	istinliS
necə	nejE
İslam	islam
qarşısında	garSusunda
qardaşı	gardaSu
şimal	Simal
pul	pul
yayılmışdır	yayulmuSdur
amma	amma
çıxır	Cuxur
Amerika	ameriTa
illərində	illErindE
qərar	gErar
adlanan	adlanan
kitab	Titab
əsərləri	EsErlEri
əsəri	EsEri
tərkibində	tErTibindE
rayonunda	rayonunda
yaşında	yaSunda
beş	beS
verilmişdir	verilmiSdir
Şərq	SErx
aldı	aldu
ərəb	ErEb
nəfəri	nEfEri
saat	saat
tək	tES
Çin	Cin
yeganə	yeTanE
həbs	hEbs
Kənd	TEnd
dair	dar
bunun	bunun
gəlinir	TElinir
rəhbərliyi	rEhbErliyi
göstərən	TEstErEn
sonradan	sonradan
dünyaya	dinyaya
mümkündür	mimTindir
etməsi	etmEsi
çıxan	Cuxan
XX	xexe
bundan	bundan
izah	izah
gəlib	TElib
çalışır	CaluSur
müstəqil	mistEgil
Universitetinin	universicecinin
gətirir	TEtirir
müharibə	miharibE
Türkiyə	tirTiyE
məktəbi	mEStEbi
İki	iTi
içində	iCindE
Qarabağ	garaba
alıb	alub
olmuşdu	olmuSdu
Əhməd	EhmEd
mm	emem
dəqiq	dEgix
sahibi	sahibi
SSRİ	ssri
xilas	xilas
adam	adam
hissəsini	hissEsini
sonunda	sonunda
Qara	gara
təhsilini	tEhsilini
baxımından	baxumundan
məcbur	mEjbur
daxilində	daxilindE
nümayiş	nimayiS
olmasına	olmasuna
tanınmış	tanunmuS
lazım	lazum
əhali	Ehali
diqqət	diggEt
qərb	gErb
dəfn	dEfn
elm	elm
etdirir	etdirir
keçirilir	TeCirilir
verdiyi	verdiyi
xanın	xanun
ərazidə	ErazidE
sıx	sux
işi	iSi
dərəcədə	dErEjEdE
sayəsində	sayEsindE
cəhətdən	jEhEtdEn
oyun	oyun
edilirdi	edilirdi
səbəbdən	sEbEbdEn
işə	iSE
şərq	SErx
yazır	yazur
dəyişir	dEyiSir
gedən	TedEn
əvəz	EvEz
Kiçik	TiCiS
səs	sEs
sadə	sadE
ilkin	ilTin
rayonu	rayonu
tərcümə	tErjimE
ölkədə	ElTEdE
alman	alman
xəbər	xEbEr
ədəbi	EdEbi
Film	film
alan	alan
Hacı	haju
olunması	olunmasu
ortaya	ortaya
idilər	idilEr
iddia	iddia
dərin	dErin
fəal	fEal
gedir	Tedir
səbəbi	sEbEbi
Son	son
təsərrüfatı	tEsErrifatu
Sultan	sultan
həmişə	hEmiSE
bağlıdır	baludur
özündə	EzindE
hiss	hiss
zəif	zEif
keçən	TeCEn
Qədim	gEdim
nail	nal
uğrunda	urunda
ərazisi	Erazisi
mədəniyyət	mEdEniyyEt
çayı	Cayu
sonralar	sonralar
onunla	onunla
çatır	Catur
Nəticədə	nEtijEdE
qalib	galib
şəhərinin	SEhErinin
deyir	deyir
Əsas	Esas
yaşlı	yaSlu
tanış	tanuS
nəzarət	nEzarEt
bitki	bitTi
imtina	imtina
ədəd	EdEd
III	uuu
dəmir	dEmir
məqsədilə	mEgsEdilE
ordusu	ordusu
gəlmişdir	TElmiSdir
təltif	tEltif
çoxu	Coxu
indiki	indiTi
rolu	rolu
qrupu	grupu
Elə	elE
təsadüf	tEsadif
idman	idman
vacib	vajib
çayının	Cayunun
Fransa	fransa
aydın	aydun
işıq	iSux
əksəriyyəti	ESsEriyyEti
kifayət	TifayEt
vəzifəsində	vEzifEsindE
ayının	ayunun
müəllim	miEllim
elektrik	eleStriS
Hərbi	hErbi
sənaye	sEnaye
bildirir	bildirir
yoldaşı	yoldaSu
anası	anasu
əmək	EmES
olduğundan	oldundan
şey	Sey
polis	polis
eni	eni
olurlar	olurlar
hökuməti	hETumEti
hazırda	hazurda
Çox	Cox
quru	guru
rayon	rayon
dərc	dErj
may	may
günü	Tini
kəskin	TEsTin
qarşısını	garSusunu
verilən	verilEn
Bakıda	baTuda
müraciət	mirajiEt
indi	indi
etibarən	ecibarEn
memarlıq	memarlux
Əliyev	Eliyev
qarşılıqlı	garSuluglu
əvvəllərində	EvvEllErindE
üzvləri	izvlEri
kitabı	Titabu
xanım	xanum
Universiteti	universiceci
mürəkkəb	mirESTEb
nadir	nadir
gecə	TejE
çətin	CEtin
sərbəst	sErbEst
Şəhər	SEhEr
müharibəsi	miharibEsi
filmi	filmi
müsəlman	misElman
göstərmişdir	TEstErmiSdir
əhalisinin	Ehalisinin
istehsalı	istehsalu
köhnə	TEhnE
əsasını	Esasunu
icazə	ijazE
sadəcə	sadEjE
əl	El
hazırlanmış	hazurlanmuS
Mən	mEn
Hüseyn	hiseyn
müvafiq	mivafix
ibn	ibn
birbaşa	birbaSa
təsdiq	tEsdix
sayılır	sayulur
müddətdə	middEtdE
hadisə	hadisE
şəhid	SEhid
tədris	tEdris
daşıyır	daSuyur
işlər	iSlEr
de	de
gizli	Tizli
qaldı	galdu
qüvvələri	givvElEri
öncə	EnjE
isti	isti
yenə	yenE
tipli	tipli
dövr	dEv3r
Müasir	miasir
sədri	sEdri
əvvəlcə	EvvEljE
işçi	iSCi
hündürlüyü	hindirliyi
edilə	edilE
The	the
fiziki	fiziTi
görkəmli	TErTEmli
müsbət	misbEt
altı	altu
onlardan	onlardan
sol	sol
aradan	aradan
maraqlı	maraglu
müəllifi	miEllifi
bilən	bilEn
cəmi	jEmi
etməklə	etmESlE
kəndin	TEndin
Roma	roma
müəllifidir	miEllifidir
Xəzər	xEzEr
əsrlərdə	EsrlErdE
icra	ijra
Müqəddəs	migEddEs
fikir	fiTir
yazdığı	yazduuu
Şah	Sah
hüquq	higux
ənənəvi	EnEnEvi
dil	dil
dövrün	dEvrin
Qərbi	gErbi
qaz	gaz
deyildi	deyildi
yerlərdə	yerlErdE
adi	adi
saylı	saylu
rəhbəri	rEhbEri
fransız	fransuz
texniki	texniTi
ölümündən	ElimindEn
şair	Sar
ad	ad
həlak	hElaS
işğal	iSxal
Şərqi	SErgi
Qırmızı	gurmuzu
yardım	yardum
dərs	dErs
növbəti	nEvbEti
hökumət	hETumEt
vaxtı	vaxtu
tanınır	tanunur
göstərmək	TEstErmES
qan	gan
Həsən	hEsEn
vəziyyətdə	vEziyyEtdE
gətirib	TEtirib
etmişlər	etmiSlEr
maliyyə	maliyyE
vasitəsi	vasitEsi
qız	guz
rolunu	rolunu
dəvət	dEvEt
Rayon	rayon
ana	ana
Gəncə	TEnjE
nəfərdən	nEfErdEn
tez	tez
miqdarda	migdarda
mərkəzində	mErTEzindE
edilmişdi	edilmiSdi
in	in
Qızıl	guzul
ön	En
Hətta	hEtta
formada	formada
birində	birindE
kütləvi	TitlEvi
sübut	sibut
sürətlə	sirEtlE
yanına	yanuna
başlayaraq	baSlayarax
əsl	Esl
dərhal	dErhal
ailəsi	alEsi
km²	kaem iTi
elmləri	elmlEri
deyildir	deyildir
əlaqə	ElagE
məsələn	mEsElEn
yanvar	yanvar
mart	mart
olmasını	olmasunu
ləğv	lEv
sahilində	sahilindE
yaradılmışdır	yaradulmuSdur
sovet	sovet
bununla	bununla
ehtimal	ehtimal
görünür	TErinir
yaranır	yaranur
miqdarı	migdaru
doktoru	doStoru
yola	yola
yaradılması	yaradulmasu
teatr	teat3r
əsər	EsEr
uğurlu	urlu
çevrilir	Cevrilir
baxımdan	baxumdan
sahədə	sahEdE
təkcə	tESjE
iyul	iyul
keçirir	TeCirir
nın	nun
iyun	iyun
nin	nin
fəaliyyətini	fEaliyyEtini
mahnı	mahnu
tədqiqat	tEdgigat
çıxdı	Cuxdu
şah	Sah
aprel	aprel
olurdu	olurdu
ordu	ordu
qol	gol
çalışmışdır	CaluSmuSdur
canlı	janlu
etməyi	etmEyi
Kəndin	TEndin
Rusiyanın	rusiyanun
kimyəvi	TimyEvi
yazılmış	yazulmuS
PKK	pekaka
məlumatlar	mElumatlar
tərəfində	tErEfindE
ətraf	Etraf
aldığı	alduuu
xətti	xEtti
mən	mEn
düz	diz
müqəddəs	migEddEs
pis	pis
Məhz	mEhz
forması	formasu
başçısı	baSCusu
istiqamətində	istigamEtindE
Rus	rus
birinin	birinin
dekabr	deTab3r
maddi	maddi
Kənddə	TEnddE
köməyi	TEmEyi
onda	onda
tarix	tarix
aparılan	aparulan
səbəbindən	sEbEbindEn
yaşıl	yaSul
qalmış	galmuS
yaşı	yaSu
yerində	yerindE
professor	professor
qeydə	geydE
dövlətin	dEvlEtin
yaşadığı	yaSaduuu
ölüm	Elim
alim	alim
müavini	miavini
nəticədə	nEtijEdE
ölkələrdə	ElTElErdE
qalmışdır	galmuSdur
əsgər	EsTEr
sənət	sEnEt
maraq	marax
çoxsaylı	Coxsaylu
İnstitutunun	institutunun
Qərb	gErb
parlaq	parlax
hakim	haTim
klassik	SlassiS
İbrahim	ibrahim
başlayıb	baSlayub
olduğuna	olduna
səviyyəsindən	sEviyyEsindEn
sərt	sErt
Asiya	asia
fəxri	fExri
filmin	filmin
tutan	tutan
aylarında	aylarunda
qida	gida
vermiş	vermiS
vermək	vermES
bina	bina
dəfələrlə	dEfElErlE
sisteminin	sisteminin
mənasını	mEnasunu
növləri	nEvlEri
oynayır	oynayur
qazandı	gazandu
kilsə	TilsE
hadisələr	hadisElEr
sülh	silh
ordusunun	ordusunun
tərtib	tErtib
Qeyd	geyd
tabe	tabe
əsərində	EsErindE
tələbə	tElEbE
ərazilərdə	ErazilErdE
fəaliyyətinə	fEaliyyEtinE
işləmişdir	iSlEmiSdir
adları	adlaru
bəyin	bEyin
oktyabr	oStyab3r
görülmüşdür	TErilmiSdir
Allah	allah
hüququ	higugu
Bəzən	bEzEn
temperatur	temperatur
göstərilir	TEstErilir
mənfi	mEnfi
prosesi	prosesi
tarixli	tarixli
verildi	verildi
şirkəti	SirTEti
gəlmiş	TElmiS
alt	alt
düzgün	dizTin
SSR	seseer
erkən	erTEn
Britaniya	britania
müdiri	midiri
övladı	Evladu
əslində	EslindE
olmağa	olma
qiymətli	giymEtli
ağac	aj
tərəf	tErEf
bizim	bizim
sentyabr	sentyab3r
tibb	tibb
vahid	vahid
atəş	atES
bilmir	bilmir
daimi	dami
enerji	enerZi
Moskva	mosSva
səh	sEh
avqust	avgust
rədd	rEdd
noyabr	noyab3r
olmur	olmur
Və	vE
dövləti	dEvlEti
dövrünün	dEvrinin
deyə	deyE
vəziyyəti	vEziyyEti
ümumiyyətlə	imumiyyEtlE
Sonralar	sonralar
meşə	meSE
komanda	Tomanda
Məmmədov	mEmmEdov
təhlükəsizlik	tEhliTEsizliS
gələcək	TElEjES
Onu	onu
Elmi	elmi
fərqlənir	fErglEnir
s	se
Öz	Ez
incəsənət	injEsEnEt
uzaq	uzax
Xarici	xariji
hissədə	hissEdE
informasiya	informasia
mənəvi	mEnEvi
hamısı	hamusu
Uzun	uzun
qələbə	gElEbE
Ermənistan	ermEnistan
aktiv	aStiv
qərarına	gEraruna
hesabına	hesabuna
Onlardan	onlardan
aktyor	aStyor
peşəkar	peSETar
Almaniya	almania
kəndinin	TEndinin
əvvəllər	EvvEllEr
elmlər	elmlEr
şərait	SErat
almış	almuS
tikinti	tiTinti
suyun	suyun
futbol	futbol
fərdi	fErdi
tərkibinə	tErTibinE
inkişafına	inTiSafuna
nümayəndələri	nimayEndElEri
Sonradan	sonradan
televiziya	televizia
əsir	Esir
nəticə	nEtijE
fikrincə	fiSrinjE
sonuncu	sonunju
kəşf	TESf
əksər	ESsEr
məktəbdə	mEStEbdE
keçdi	TeCdi
yunan	yunan
Müxtəlif	mixtElif
müalicə	mialijE
olacaq	olajax
yaratmaq	yaratmax
Təhsil	tEhsil
bəri	bEri
soyuq	soyux
Universitetində	universicecindE
seçilir	seCilir
başlıca	baSluja
əhəmiyyət	EhEmiyyEt
evi	evi
qəzeti	gEzeci
birinə	birinE
sahələri	sahElEri
əgər	ETEr
görür	TErir
xalqın	xalgun
tənqid	tEngid
avtomobil	avtomobil
yeddi	yeddi
Atası	atasu
heyvan	heyvan
yaranmışdır	yaranmuSdur
üst	ist
həqiqi	hEgigi
tanınan	tanunan
başladılar	baSladular
güman	Timan
həyatını	hEyatunu
aparır	aparur
bölünür	bElinir
edərkən	edErTEn
dərəcə	dErEjE
üstündə	istindE
qərarı	gEraru
məktəbində	mEStEbindE
azərbaycanlı	azErbayjanlu
hündür	hindir
XVIII	xvuuu
Yalnız	yalnuz
İsmayıl	ismayul
yazmışdır	yazmuSdur
işləyir	iSlEyir
aparıcı	aparuju
etnik	etniS
məntəqəsi	mEntEgEsi
atasının	atasunun
daim	dam
bilməz	bilmEz
bunlar	bunlar
elektron	eleStron
mənası	mEnasu
biz	biz
yaranan	yaranan
xırda	xurda
bilmədi	bilmEdi
təqribən	tEgribEn
giriş	TiriS
Avropada	avropada
şəhərdə	SEhErdE
Birləşmiş	birlESmiS
alaraq	alarax
Ümumi	imumi
Şeyx	Seyx
qadınlar	gadunlar
taxta	taxta
haqda	hagda
fevral	fevral
altına	altuna
mahnısı	mahnusu
çoxdur	Coxdur
Elmlər	elmlEr
vəziyyət	vEziyyEt
naziri	naziri
olarkən	olarTEn
şəraitdə	SEratdE
göz	TEz
qadağan	gadan
İrəvan	irEvan
dağlıq	dalux
davamlı	davamlu
nəqliyyat	nEgliyyat
Gürcüstan	Tirjistan
görmək	TErmES
of	of
düşən	diSEn
Yer	yer
ayrılır	ayrulur
hissə	hissE
mənşəli	mEnSEli
üzü	izi
olduqda	oldugda
tezliklə	tezliSlE
əsası	Esasu
etdirən	etdirEn
tərəfi	tErEfi
xüsusən	xisusEn
hakimiyyət	haTimiyyEt
Bunlar	bunlar
Nizami	nizami
Şəhərin	SEhErin
təsis	tEsis
ailəsində	alEsindE
ə	E
ədəbiyyatı	EdEbiyyatu
dövrlərdə	dEvrlErdE
əsərin	EsErin
İnsan	insan
bitirdikdən	bicirdiSdEn
tədricən	tEdrijEn
Əsasən	EsasEn
Başqa	baSga
onlarla	onlarla
silah	silah
iqlim	iglim
fəlsəfə	fElsEfE
mütləq	mitlEx
binası	binasu
oyunda	oyunda
Yusif	yusif
istəyir	istEyir
səviyyədə	sEviyyEdE
şəxslər	SExslEr
alınmışdır	alunmuSdur
mükafatı	miTafatu
şərəfinə	SErEfinE
yazıçı	yazuCu
silahlı	silahlu
yaradılmış	yaradulmuS
alınır	alunur
təhsili	tEhsili
Misir	misir
bilərlər	bilErlEr
düşmən	diSmEn
Akademiyasının	aTademiyasunun
adlandırılmışdır	adlandurulmuSdur
olsun	olsun
dəstək	dEstES
yayılmış	yayulmuS
yaş	yaS
Con	jon
əmr	Em3r
Artıq	artux
sözləri	sEzlEri
fars	fars
tədqiq	tEdgix
Yerli	yerli
saray	saray
hesabı	hesabu
saxlanılır	saxlanulur
yolla	yolla
başlayan	baSlayan
əməkdaşlıq	EmESdaSlux
arxa	arxa
alınan	alunan
din	din
aparılır	aparulur
əməliyyat	EmEliyyat
qazanmışdır	gazanmuSdur
sürətli	sirEtli
çərçivəsində	CErCivEsindE
vaxtda	vaxtda
Yaponiya	yaponia
istənilən	istEnilEn
prezidenti	prezidenti
bacısı	bajusu
təkrar	tESrar
etdirmişdir	etdirmiSdir
sarı	saru
qoşunları	goSunlaru
çəkir	CETir
dövlətinin	dEvlEtinin
əlaqəli	ElagEli
mövzusunda	mEvzusunda
ümumilikdə	imumiliSdE
İngiltərə	inTiltErE
keçirdi	TeCirdi
ve	ve
Ərəb	ErEb
Allahın	allahun
etdiyini	etdiyini
üstün	istin
Bunlardan	bunlardan
i	i
kral	Sral
quruluşu	guruluSu
real	real
rəngdə	rEnTdE
verirdi	verirdi
etdikləri	etdiSlEri
mədəniyyəti	mEdEniyyEti
Nadir	nadir
göstərirdi	TEstErirdi
rəng	rEnT
vergi	verTi
Ümumiyyətlə	imumiyyEtlE
günə	TinE
gücü	Tiji
əleyhinə	EleyhinE
sahə	sahE
verib	verib
bəziləri	bEzilEri
məlumdur	mElumdur
qərara	gErara
vəzifəsinə	vEzifEsinE
olunmuşdu	olunmuSdu
dən	dEn
qalıqları	galuglaru
Dəniz	dEniz
adının	adunun
tətbiqi	tEtbigi
müəllimi	miEllimi
xüsusiyyətləri	xisusiyyEtlEri
rejissor	reZissor
sonuna	sonuna
əksini	ESsini
iştirakı	iStiraTu
qayda	gayda
əksinə	ESsinE
Şurasının	Surasunun
çalışan	CaluSan
ada	ada
dilinə	dilinE
hüquqi	higugi
problemləri	problemlEri
tutdu	tutdu
Alman	alman
Bunu	bunu
IV	uv
qismi	gismi
illərin	illErin
edildiyi	edildiyi
dərəcəsi	dErEjEsi
balıq	balux
coğrafi	jorafi
fəaliyyətə	fEaliyyEtE
nəticəsi	nEtijEsi
etmir	etmir
yaratdığı	yaratduuu
başçılıq	baSCulux
tədqiqatlar	tEdgigatlar
görən	TErEn
olmalıdır	olmaludur
başına	baSuna
Mədəniyyət	mEdEniyyEt
müqavilə	migavilE
sistem	sistem
yay	yay
adından	adundan
ikisi	iTisi
ehtiyac	ehtiyaj
gəlmək	TElmES
İngilis	inTilis
daşıyan	daSuyan
formasında	formasunda
yerləşdiyi	yerlESdiyi
ərazisinə	ErazisinE
direktoru	direStoru
gümüş	TimiS
ədəbiyyat	EdEbiyyat
yerini	yerini
orijinal	oriZinal
Elm	elm
olmadan	olmadan
ağa	a
dilinin	dilinin
gəlməsi	TElmEsi
işləyən	iSlEyEn
çevrildi	Cevrildi
qismən	gismEn
biləcək	bilEjES
birini	birini
mənim	mEnim
Şimal	Simal
heyəti	heyEti
proqram	program
əsərlər	EsErlEr
dövrünə	dEvrinE
üz	iz
üsulu	isulu
xristian	xristian
çəkilən	CETilEn
xalqının	xalgunun
şəraitində	SEracindE
hissəsinin	hissEsinin
müddəti	middEti
yəhudi	yEhudi
əvəzinə	EvEzinE
həyatında	hEyatunda
