je	ye
drugom	drugom
Sve	svE
onda	ondE
primjer	primyer
serije	sEriye
površine	povrSinE
naroda	norodE
snaga	snagE
Dok	dok
januara	yanuorE
nekih	nEkih
novembra	novEmbrE
blizini	blizini
njegovih	5egovih
otac	otEc
njegovom	5egovom
decembra	dEcEmbrE
albuma	albumE
ekipa	EkipE
nazivaju	nazivoyu
Iz	iz
sebe	sEbE
žene	ZEnE
tipa	tipE
oktobra	oktobrE
prvom	prvom
verzija	vErziyE
sedam	sEdEm
ovu	ovu
predsjednik	prEtsyednik
ranije	raniye
prilikom	prilikom
odnosi	odnosi
Kad	kad
mnogim	mnogim
kaže	kaZE
uključuje	ukLuCuye
oba	obE
velika	vElikE
članova	ClanovE
dobila	dobilE
energije	EnErgiye
dobija	dobiyE
počela	poCElE
napisao	napisEo
vrijednosti	vriyednosti
početka	poCEtkE
dosta	dostE
gena	gEnE
jako	yako
tzv	t3z3v3
III	rimsko tri
stanje	sta5e
umjesto	umyesto
širom	Sirom
pred	prEd
uključuju	ukLuCuyu
Prva	prva
ono	ono
proteina	protEinE
čemu	CEmu
mogli	mogli
polja	poLE
crkve	crkvE
jedinica	yedinicE
teško	tESko
napada	napEdE
osobe	osobE
uspio	uspio
kuće	kuCE
broju	broyu
takmičenja	takmiCE5E
filmu	filmu
dijelom	diyelom
Postoji	postoyi
dovoljno	dovoLno
popisu	popisu
jeziku	yeziku
poznato	poznEto
velikim	vElikim
zapravo	zaprEvo
isto	isto
ta	ta
grupi	grupi
čime	CimE
Ovi	ovi
strukture	strukturE
Postoje	postoye
poznati	poznEti
Da	da
razvoja	razvoyE
zato	zato
jedini	yedini
period	pEriod
A	a
umjetnosti	umyetnosti
veliku	vEliku
znatno	znatno
mjeseci	myesEci
godinu	godinu
odmah	odmEh
ostrva	ostrvE
njihov	5ihov
oca	ocE
ovim	ovim
prvenstvo	prvEnstvo
veze	vEzE
zemalja	zEmELE
dao	dao
rada	radE
razloga	razlogE
djelo	dyelo
Poslije	posliye
nikada	nikEdE
Ali	ali
Glavni	glavni
Ove	ovE
glasova	glasovE
mnogih	mnogih
time	timE
kraj	kroy
jedinice	yedinicE
isti	isti
utakmica	utEkmicE
velikih	vElikih
Uz	uz
mogućnost	moguCnost
škole	SkolE
neće	nECE
ostali	ostEli
prvih	prvih
Tu	tu
ka	ka
prostor	prostor
omogućava	omoguCEvE
osam	osEm
vladavine	vladEvinE
knjiga	k5igE
rekao	rEkEo
veće	vECE
čovjeka	CovyekE
igrao	igrEo
igrača	igrECE
Tada	tadE
najbolji	noyboLi
jednoj	yednoy
rimokatolička	rimokEtoliCkE
Jugoslavije	yugoslEviye
aktivnosti	aktivnosti
februara	fEbruorE
društva	druStvE
igrač	igrEC
iza	izE
kulture	kulturE
potpunosti	potpunosti
New	nEv
javlja	yavlyE
ostao	ostEo
ostale	ostElE
početkom	poCEtkom
vojnika	voynikE
vidi	vidi
mogućnosti	moguCnosti
objavio	obyEvio
zemlji	zEmLi
ubrzo	ubrzo
njegovim	5egovim
voda	vodE
Prije	priye
Drugi	drugi
ekipe	EkipE
golova	golovE
velikog	vElikog
moraju	moroyu
potrebno	potrEbno
materijala	matEriyElE
vlada	vladE
hrane	xranE
njenog	5enog
osnovan	osnovEn
porodica	porodicE
žive	ZivE
titulu	titulu
skoro	skoro
tj	t3y3
Grad	grad
članovi	Clanovi
površini	povrSini
funkcije	fuNkciye
kojom	koyom
njene	5enE
stvari	stvori
vojska	voyskE
umro	umro
drugoj	drugoy
ukupnog	ukupnog
jednim	yednim
linije	liniye
knjige	k5igE
novih	novih
završio	zavrSio
svega	svEgE
možda	moZdE
novog	novog
Svi	svi
O	o
došao	doSEo
grupu	grupu
krajem	kroyem
pjesama	pyesEmE
predsjednika	prEtsyednikE
obzirom	obzirom
pojavljuje	poyEvlyuye
svjetskog	svyetskog
uspjeh	uspyeh
zove	zovE
životinja	Zivoti5E
rijeka	riyekE
dužine	duZinE
izvan	izvEn
lige	ligE
moći	moCi
direktno	dirEktno
obje	obye
vratio	vratio
Evropi	Evropi
toku	toku
nagradu	nagrEdu
došlo	doSlo
Mnogi	mnogi
deset	dEsEt
problema	problEmE
proizvodnju	proizvod5u
mogla	moglE
Neke	nEkE
Oko	oko
njihova	5ihovE
vrijednost	vriyednost
igre	igrE
izuzetno	izuzEtno
nagrada	nagrEdE
naročito	noroCito
vlade	vladE
Jedna	yednE
visine	visinE
zna	zna
najmanje	noymE5e
nastaje	nastoye
sadrže	sadrZE
stanja	sta5E
njegovi	5egovi
ostaje	ostoye
rjeđe	ryejE
mali	mali
nosi	nosi
označava	oznECEvE
funkcija	fuNkciyE
kuća	kuCE
pripada	pripEdE
vrhu	vrhu
brojne	broynE
smislu	smislu
SAD	sad
cilj	ciL
džamije	jamiye
no	no
gradova	gradovE
izabran	izEbrEn
dovodi	dovodi
struktura	strukturE
riječ	riyeC
the	thE
veličine	vEliCinE
dugo	dugo
njihovih	5ihovih
škola	SkolE
sva	sva
međusobno	mEjusobno
položaj	poloZoy
toj	toy
sela	sElE
veza	vEzE
školu	Skolu
napad	napEd
Ima	imE
Taj	toy
predstavljaju	prEtstEvlyoyu
toliko	toliko
drugu	drugu
podacima	podEcimE
ponovno	ponovno
prvu	prvu
krvi	krvi
stranke	straNkE
istovremeno	istovrEmEno
proizvodi	proizvodi
biljke	biLkE
borbi	borbi
majka	moykE
pokazuje	pokEzuye
rođen	rojEn
vrata	vratE
čovjek	Covyek
smrt	smrt
šta	Sta
jezera	yezErE
carstva	corstvE
organizacije	orgEnizEciye
prvenstva	prvEnstvE
prvoj	prvoy
okviru	okviru
plemena	plEmEnE
nova	novE
regije	rEgiye
epizodi	Epizodi
svojom	svoyom
opet	opEt
sistemu	sistEmu
ostala	ostElE
prvaka	prvakE
nikad	nikEd
male	malE
približno	pribliZno
procesa	procEsE
posljedica	posLedicE
upotrebu	upotrEbu
vraća	vraCE
Pošto	poSto
dijelovi	diyelovi
nemaju	nEmoyu
potom	potom
Pri	pri
promjena	promyenE
svakog	svakog
područjima	podruCyimE
dolara	dolorE
razne	raznE
Evrope	EvropE
sebi	sEbi
mjeri	myeri
muzike	muzikE
Ne	nE
minuta	minutE
slika	slikE
vrh	vrh
Velika	vElikE
blizu	blizu
boja	boyE
dijelova	diyelovE
drugo	drugo
kući	kuCi
mada	madE
Svaki	svaki
dr	d3r3
izvora	izvorE
dijete	diyetE
izvor	izvor
navodi	navodi
postigao	postigEo
godinama	godinEmE
određene	odrEjEnE
životu	Zivotu
mjeseca	myesEcE
svaka	svakE
Nije	niye
potrebe	potrEbE
veća	vECE
njoj	5oy
tkiva	tkivE
par	por
Film	film
podršku	podrSku
zajednice	zoyednicE
Među	mEju
rijetko	riyetko
vezi	vEzi
vozila	vozilE
koliko	koliko
upravo	uprEvo
Windows	vindofs
pokazuju	pokEzuyu
površinu	povrSinu
razlikuju	razlikuyu
razvoju	razvoyu
status	status
Veliki	vEliki
Još	yoS
stare	storE
djeluje	dyeluye
želi	ZEli
njihovog	5ihovog
sati	sati
najbolje	noyboLe
odnos	odnos
općina	opCinE
pada	padE
kreće	krECE
DNK	d3n3k3
borbe	borbE
isključivo	iskLuCivo
istom	istom
proizvodnje	proizvod5e
cijevi	ciyevi
elemenata	ElEmEnEtE
naći	naCi
tip	tip
slučajevima	sluCoyevimE
tenka	tENkE
fazi	fazi
ratu	ratu
raznim	raznim
njena	5enE
odlazi	odlEzi
bolje	boLe
sastavu	sastEvu
utakmici	utEkmici
vojne	voynE
osobine	osobinE
raznih	raznih
Ta	ta
izgubio	izgubio
finalu	finElu
imalo	imElo
završava	zavrSEvE
Najveći	noyvECi
Broj	broy
koristio	koristio
onih	onih
Novi	novi
Zatim	zatim
faze	fazE
granice	granicE
porijekla	poriyeklE
skladu	skladu
studija	studiyE
ligi	ligi
slučajeva	sluCoyevE
čija	CiyE
državi	drZavi
najvećih	noyvECih
džamija	jamiyE
odlučio	odluCio
služi	sluZi
zemljama	zEmLEmE
zvijezda	zviyezdE
Time	timE
biljaka	biLEkE
pobijedio	pobiyedio
površina	povrSinE
Smatra	smatrE
glavna	glavnE
slučaj	sluCoy
većinu	vECinu
John	yohn
linija	liniyE
organizacija	orgEnizEciyE
podatke	podEtkE
stanovništvo	stanovniStvo
programa	progrEmE
nastupa	nastupE
svijet	sviyet
nivou	nivo
reda	rEdE
slike	slikE
vremenom	vrEmEnom
polje	poLe
tamo	tamo
jugu	yugu
načina	naCinE
pjesma	pyesmE
Srbije	srbiye
jest	yest
Stoga	stogE
stadionu	stadionu
moć	moC
njegovoj	5egovoy
pristup	pristup
znak	znak
značajno	znaCoyno
and	and
povećava	povECEvE
mijenja	miye5E
program	progrEm
reakcije	rEEkciye
itd	it3d3
pokušava	pokuSEvE
treći	trECi
životinje	Zivoti5e
posao	posEo
puno	puno
svakom	svakom
Budući	buduCi
pravila	pravilE
spominje	spomi5e
brata	bratE
glasača	glasECE
jasno	yasno
prostoru	prostoru
duž	duZ
lik	lik
količine	koliCinE
nje	5e
političke	politiCkE
prvenstvu	prvEnstvu
razlika	razlikE
Bosna	bosnE
Godina	godinE
dobiti	dobiti
godišnje	godiS5e
stoga	stogE
čije	Ciye
Klub	klub
One	onE
kompanija	kompEniyE
Pod	pod
funkciju	fuNkciyu
manji	ma5i
prelazi	prElEzi
Pokémon	pokemon
ispred	isprEd
nalazio	nalEzio
prostora	prostorE
roda	rodE
vojsku	voysku
noći	noCi
novu	novu
obzira	obzirE
problem	problEm
sjeveru	syevEru
ujedno	uyedno
brat	brat
kamena	kamEnE
kontrolu	kontrolu
traje	troye
trenutku	trEnutku
vidjeti	vidyeti
kilometara	kilomEtorE
temperature	tEmpErEturE
Rođen	rojEn
pošto	poSto
sposobnost	sposobnost
dovelo	dovElo
počeli	poCEli
zaštitu	zaStitu
istog	istog
otprilike	otprilikE
prikazuje	prikEzuye
rast	rast
započeo	zapoCEo
kosti	kosti
ništa	niStE
temperatura	tEmpErEturE
izgleda	izglEdE
ljude	LudE
mišića	miSiCE
poznate	poznEtE
dijeli	diyeli
najboljih	noyboLih
vremenu	vrEmEnu
zemlju	zEmLu
samog	samog
seriji	sEriyi
Druga	drugE
dijelovima	diyelovimE
količina	koliCinE
prilično	priliCno
nauka	naukE
visoke	visokE
Ime	imE
događaja	dogEjoyE
oružja	oruZyE
stvara	stvorE
teritorije	tEritoriye
Te	tE
trebao	trEbEo
vezu	vEzu
Nekoliko	nEkoliko
glavnog	glavnog
jeste	yestE
ko	ko
Hrvatske	xrvatskE
bavi	bavi
daju	doyu
konzulstva	konzulstvE
naprimjer	naprimyer
njim	5im
odnose	odnosE
pjesmu	pyesmu
pomoći	pomoCi
srednje	srEd5e
Često	CEsto
brigade	brigEdE
daleko	dalEko
djecu	dyecu
molekula	molEkulE
model	modEl
odgovor	odgovor
zraka	zrakE
proizvoda	proizvodE
rasta	rastE
strana	stranE
turnira	turnirE
dobi	dobi
prolazi	prolEzi
obuhvata	obuhvEtE
Crkva	crkva
morao	morEo
nagrade	nagrEdE
objekta	obyektE
moglo	moglo
ostalim	ostElim
serija	sEriyE
zemlja	zEmLE
brojem	broyem
kompanije	kompEniye
nastavlja	nastEvlyE
priča	priCE
rezultatom	rEzultEtom
Francuske	francuskE
Između	izmEju
No	no
kiseline	kisElinE
proizvode	proizvodE
sezona	sEzonE
verzije	vErziye
većim	vECim
devet	dEvEt
nju	5u
sjedište	syediStE
čelu	CElu
bivše	bifSE
epizoda	EpizodE
historije	xistoriye
koristeći	koristECi
neka	nEkE
pokreta	pokrEtE
trenutno	trEnutno
jednostavno	yednostEvno
ploča	ploCE
društvo	druStvo
najveća	noyvECE
politički	politiCki
Dvije	dviye
tačke	taCkE
objekata	obyekEtE
postali	postEli
sezonu	sEzonu
uticaj	uticoy
njihovim	5ihovim
vodu	vodu
cara	corE
glavnih	glavnih
imale	imElE
porodici	porodici
reakcija	rEEkciyE
ruke	rukE
ostaci	ostEci
pritisak	pritisEk
IV	rimsko CEtiri
ovi	ovi
nekog	nEkog
igrama	igrEmE
neko	nEko
prirode	prirodE
većinom	vECinom
mase	masE
partije	portiye
velikom	vElikom
bolest	bolEst
dinastije	dinEstiye
javljaju	yavlyoyu
granica	granicE
jedino	yedino
okruga	okrugE
Hrvatskoj	xrvatskoy
dijele	diyelE
informacije	informEciye
konačno	konECno
posljednji	posLed5i
turnir	turnir
Dva	dva
lahko	lahko
pobjedu	pobyedu
stalno	stalno
Prosječna	prosyeCnE
dovesti	dovEsti
historiju	xistoriyu
Bila	bilE
dužina	duZinE
zgrada	zgradE
Svaka	svakE
nivoa	nivoE
pitanje	pitE5e
van	van
Samo	samo
istoku	istoku
međuvremenu	mEjuvrEmEnu
objavljen	obyEvlyen
odgovara	odgovorE
otkriva	otkrivE
zajednica	zoyednicE
Iste	istE
krila	krilE
nivo	nivo
plan	plan
pravi	pravi
sredini	srEdini
uloga	ulogE
kanala	kanElE
kome	komE
x	iks
zgrade	zgradE
ide	idE
karijeru	koriyeru
postaju	postoyu
dijelove	diyelovE
izgrađena	izgrEjEnE
nastala	nastElE
političkih	politiCkih
Njemačke	5emECkE
razlikuje	razlikuye
sastav	sastEv
dobili	dobili
nastaju	nastoyu
nastavio	nastEvio
njihovo	5ihovo
bodova	bodovE
hiljada	xiLEdE
novim	novim
odvija	odviyE
pruža	pruZE
Uprkos	uprkos
majke	moykE
pobjede	pobyedE
pobjednik	pobyednik
novac	novEc
proizvodnja	proizvod5E
ugovor	ugovor
većine	vECinE
metoda	mEtodE
pobjeda	pobyedE
pojam	poyEm
smanjuje	sma5uye
vrši	vrSi
centra	cEntrE
glavne	glavnE
izbora	izborE
oružje	oruZye
pojavljuju	poyEvlyuyu
tima	timE
veću	vECu
Prve	prvE
muziku	muziku
planine	planinE
podaci	podEci
važan	vaZEn
molekule	molEkulE
većini	vECini
njihovu	5ihovu
osvojila	osvoyilE
filmova	filmovE
operacije	opErEciye
samom	samom
tona	tonE
materijal	matEriyEl
ovdje	ovdye
početak	poCEtEk
treće	trECE
Nalazi	nalEzi
bitke	bitkE
djelovanja	dyelovE5E
koga	kogE
podijeljena	podiyeLenE
studije	studiye
vodio	vodio
in	in
red	rEd
člana	ClanE
raste	rastE
smo	smo
svoga	svogE
ti	ti
razlike	razlikE
Može	moZE
glave	glavE
kiselina	kisElinE
stvaranje	stvorE5e
vijeće	viyeCE
obali	obEli
ploče	ploCE
populacije	populEciye
regija	rEgiyE
takmičenje	takmiCE5e
upotrebi	upotrEbi
zavisi	zavisi
atoma	atomE
njenom	5enom
novca	nofcE
opisuje	opisuye
sposobnosti	sposobnosti
Naprimjer	naprimyer
Već	vEC
odbrane	odbrEnE
pitanja	pitE5E
korištenje	koriStE5e
određeni	odrEjEni
sata	satE
svjetlosti	svyetlosti
spomenika	spomEnikE
uspješno	uspyeSno
Srpske	srpskE
nalazila	nalEzilE
odnosa	odnosE
slično	sliCno
aviona	avionE
biva	bivE
budući	buduCi
manjih	ma5ih
sloj	sloy
sukoba	sukobE
centru	cEntru
izraz	izrEz
klase	klasE
sila	silE
sv	s3v3
Ubrzo	ubrzo
izjavio	izyEvio
sama	samE
Tri	tri
koristili	koristili
tačka	taCkE
ulazi	ulEzi
formira	formirE
klubova	klubovE
polju	poLu
prvobitno	prvobitno
uzrokuje	uzrokuye
Krajem	kroyem
Marija	moriyE
informacija	informEciyE
općenito	opCEnito
povezana	povEzEnE
radova	radovE
tačno	taCno
faza	fazE
malim	malim
Dana	danE
zakon	zakon
završila	zavrSilE
budu	budu
mjestima	myestimE
njihovom	5ihovom
osnovne	osnovnE
pojave	poyEvE
priče	priCE
stil	stil
zapadu	zapEdu
dužnosti	duZnosti
pojava	poyEvE
razvija	razviyE
rezultate	rEzultEtE
slijedi	sliyedi
smatrao	smatrEo
supruga	suprugE
turniru	turniru
velikoj	vElikoy
visini	visini
Obično	obiCno
napravio	naprEvio
osobina	osobinE
prvenstveno	prvEnstvEno
zahvaljujući	zahvELuyuCi
brojnim	broynim
drži	drZi
ljudima	LudimE
položaja	poloZoyE
pripadaju	pripEdoyu
simbol	simbol
jedina	yedinE
radu	radu
uloge	ulogE
značajan	znaCoyEn
carstvo	corstvo
dati	dati
kretanja	krEtE5E
modela	modElE
nacionalni	nacionElni
održava	odrZEvE
postati	postEti
zakona	zakonE
finala	finElE
savez	savEz
narod	norod
prirodi	prirodi
top	top
živjelo	Zivyelo
cijele	ciyelE
ligu	ligu
napustio	napustio
obale	obElE
pravcu	prafcu
sličan	sliCEn
vidu	vidu
doći	doCi
osvaja	osvoyE
primjeraka	primyerEkE
svakoj	svakoy
Ostali	ostEli
dimenzija	dimEnziyE
metode	mEtodE
nezavisnost	nEzEvisnost
povezan	povEzEn
prethodno	prEthodno
trebalo	trEbElo
visoko	visoko
TV	t3v3
Prvo	prvo
manja	ma5E
potiče	potiCE
teorija	tEoriyE
sredine	srEdinE
Njemačkoj	5emECkoy
car	cor
nastao	nastEo
predmeta	prEdmEtE
raspada	raspEdE
sud	sud
vodom	vodom
školi	Skoli
lica	licE
takve	takvE
udaljenosti	udELenosti
Sarajeva	soroyevE
razlog	razlog
Početkom	poCEtkom
obrazovanje	obrEzovE5e
onaj	onoy
pretežno	prEtEZno
različita	razliCitE
Beogradu	bEogrEdu
duže	duZE
izlazi	izlEzi
kupa	kupE
metala	mEtElE
najveće	noyvECE
cijeli	ciyeli
formiraju	formiroyu
god	god
kg	k3g3
postavljen	postEvlyen
malih	malih
pacijenata	paciyenEtE
prošlosti	proSlosti
reprezentacije	rEprEzEntEciye
Drugog	drugog
djeca	dyecE
epizode	EpizodE
finale	finElE
karijeri	koriyeri
ostatak	ostEtEk
postepeno	postEpEno
upotreba	upotrEbE
veličini	vEliCini
ćelijama	CEliyEmE
borbu	borbu
nazvan	nazvEn
osnovao	osnovEo
svetog	svEtog
visokim	visokim
govore	govorE
javnosti	yavnosti
osnovana	osnovEnE
otkrio	otkrio
piše	piSE
proveo	provEo
termin	tErmin
dom	dom
element	ElEmEnt
izašlo	izESlo
povezani	povEzEni
prvim	prvim
saveza	savEzE
srca	srca
strukturu	strukturu
direktor	dirEktor
radom	radom
riječima	riyeCimE
takođe	takojE
utjecaj	utyecoy
Ukupno	ukupno
brzine	brzinE
liječenje	liyeCE5e
mala	malE
porijeklo	poriyeklo
pritiska	pritiskE
putu	putu
važećih	vaZECih
dolaze	dolEzE
aktivnost	aktivnost
baza	bazE
mi	mi
nose	nosE
pojavio	poyEvio
slične	sliCnE
središte	srEdiStE
zadatak	zadEtEk
potrebna	potrEbnE
takav	takEv
uspjeha	uspyehE
vladara	vladorE
gore	gorE
povezane	povEzEnE
regiji	rEgiyi
uspijeva	uspiyevE
autora	autorE
raditi	raditi
Umjesto	umyesto
Zato	zato
knjizi	k5izi
nevažećih	nEvEZECih
poraza	porEzE
rezultira	rEzultirE
teorije	tEoriye
trebala	trEbElE
ukazuje	ukEzuye
vođa	vojE
politike	politikE
široko	Siroko
Njen	5en
karijere	koriyerE
kolu	kolu
procesu	procEsu
stranu	stranu
nauke	naukE
svjetski	svyetski
vrstu	vrstu
baze	bazE
gola	golE
pojedinih	poyedinih
stvaraju	stvoroyu
tvrdi	tvrdi
zauzima	zauzimE
James	yamEs
tenkova	tENkovE
zavisnosti	zavisnosti
San	san
književnosti	k5iZEvnosti
organa	orgEnE
rade	radE
značaj	znaCoy
izdanje	izdE5e
kultura	kulturE
njihovi	5ihovi
odigrao	odigrEo
preuzeo	prEuzEo
Kroz	kroz
dobar	dobor
glasa	glasE
njemački	5emECki
pokazao	pokEzEo
postane	postEnE
reprezentacija	rEprEzEntEciyE
upotrebe	upotrEbE
uslovima	uslovimE
Zemlje	zEmLe
pokazala	pokEzElE
pokušao	pokuSEo
uzima	uzimE
izdanja	izdE5E
osnovi	osnovi
rekord	rEkord
stadiona	stadionE
Bosnu	bosnu
Trenutno	trEnutno
kreću	krECu
pitanju	pitE5u
pogledu	poglEdu
veliko	vEliko
završetka	zavrSEtkE
zaštite	zaStitE
zvijezde	zviyezdE
Njemačka	5emECkE
drveta	drvEtE
određuje	odrEjuye
redu	rEdu
skup	skup
varira	vorirE
Aleksandar	alEksEndor
Naime	naimE
dvoje	dvoye
posljednje	posLed5e
počinju	poCi5u
stoljeću	stoLeCu
izvori	izvori
mosta	mostE
motora	motorE
odbio	odbio
receptora	rEcEptorE
soli	soli
tenk	tENk
veže	vEZE
Njegovo	5egovo
